SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESHP016-13|Métodos Quantitativos para Ciências Sociais|2|2|4|Introdução à Probabilidade e à Estatística
ESZU015-17|Métodos Quantitativos para Planejamento Estratégico|1|1|4|Métodos Experimentais em Engenharia; Cartografia e Geoprocessamento
MCZB024-13|Métodos Variacionais|4|0|4|Álgebra Linear; Cálculo Vetorial e Tensorial
ESZG030-17|Metrologia|2|2|4|Qualidade em Sistemas
NHT1056-15|Microbiologia|4|2|4|Biodiversidade: Interações entre organismos e ambiente; Biologia Celular; Bioquímica Funcional
ESTU010-17|Microbiologia Ambiental|3|1|4|Transformações Químicas;Bioquímica: estrutura, propriedade e funções de biomoléculas; Biodiversidade: Interações entre Organismos e Ambiente
ESHC025-17|Microeconomia I|4|0|4|Introdução à Economia
ESHC026-17|Microeconomia II|4|0|3|Microeconomia I
ESHC029-17|Microeconomia III|4|0|4|Microeconomia I; Microeconomia II
ESZC027-17|Microeconomia Sistêmica Ambiental|4|0|4|Microeconomia I; Microeconomia II
NHZ3042-15|Microscopia Eletrônica|2|2|4|Mecânica Quântica I; Estado Sólido
MCZA015-13|Mineração de Dados|3|1|4|Inteligência Artificial; Banco de Dados
ESHT012-17|Mobilização Produtiva dos Territórios e Desenvolvimento Local|4|0|4|Não há
ESTB020-17|Modelagem de Sistemas Dinâmicos I|2|2|4|Métodos Matemáticos aplicados a Sistemas Biomédicos; Computação Científica aplicada a Problemas Biológicos
ESTB024-17|Modelagem de Sistemas Dinâmicos II|2|2|4|Modelagem de Sistemas Dinâmicos I
ESTA020-17|Modelagem e Controle|2|0|5|Introdução às Equações Diferenciais Ordinárias
ESZB038-17|Modelagem e Simulação do Movimento Humano|2|2|4|Biomecânica I
ESZC030-17|Modelagem Econômica no Século XXI|4|0|4|Desenvolvimento Socioeconômico
NHZ1079-15|Modelagem Molecular de Sistemas Biológicos|3|1|4|Equações Diferenciais Ordinárias
ESZG020-17|Modelos de Comunicação Nas Organizações|2|0|4|Clima e Cultura Organizacional
ESZG040-17|Modelos de Decisão Multicritério|0|2|3|Gestão de Operações
ESZG032-17|Modelos e Ferramentas de Gestão Ambiental|3|0|3|Não há
ESZP004-13|Modelos e Práticas Colaborativas em CT&I|4|0|4|Não há
ESZT022-17|Modelos Econômicos e Análise das Dinâmicas Territoriais|4|0|4|Não há
MCZB025-13|Módulos|4|0|4|Grupos; Anéis e Corpos
ESHC907-18|Monografia I – Técnicas de Pesquisa em Economia|2|3|0|Requisito: CPk ≥ 0,6 no Bacharelado em Ciências Econômicas
ESHC908-18|Monografia II em Ciências Econômicas|0|8|0 |Monografia I – Técnicas de Pesquisa em Economia
ESHC909-18|Monografia III em Ciências Econômicas|0|9|0|Monografia II em Ciências Econômicas
NHT1066-15|Morfofisiologia Animal Comparada|4|0|4|Zoologia de Invertebrados I; Zoologia de Invertebrados II; Zoologia de Vertebrados; Evolução
NHT1058-15|Morfofisiologia Humana I|4|2|4|Biologia Celular ou Neurobiologia Molecular e Celular; Histologia e Embriologia ou Neuroanatomia
NHT1059-15|Morfofisiologia Humana II|4|2|4|Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I
NHT1060-15|Morfofisiologia Humana III|4|2|4|Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I
ESZE082-17|Motores de Combustão Interna|2|0|4|Termodinâmica Aplicada I; Termodinâmica Aplicada II; Sistemas Térmicos
ESZP029-13|Movimentos Sindicais, Sociais e Culturais|4|0|4|Não há
ESZC013-17|Mudança Tecnológica e Dinâmica Capitalista na Economia Contemporânea|4|0|4|Não há
ESZM002-17|Nanociência e Nanotecnologia|2|0|2|Física Quântica
ESZM031-17|Nanocompósitos|4|0|4|Nanociência e Nanotecnologia; Materiais Compósitos
NHZ3060-09|Nascimento e Desenvolvimento da Ciência Moderna|4|0|4|Não há
BCM0504-15|Natureza da Informação|3|0|4|Bases Computacionais da Ciência
ESZS008-17|Navegação Inercial e GPS|3|1|4|Dinâmica I
ESZG021-17|Negociação e Solução de Conflitos Organizacionais|4|0|2|Não há
ESZR009-13|Negociações internacionais, propriedade intelectual e transferência tecnológica|4|0|4|Não há
MCTC023-15|Neuroanatomia|3|1|4|Introdução à Neurociência e/ou Morfofisiologia Humana I
MCZC008-13|Neuroarte|2|0|2|Introdução à Neurociência
MCZC015-15|Neuroarte Prática e Estética Experimental|1|3|2|Neuroarte
MCTC019-15|Neurobiologia Molecular e Celular|4|2|4|Introdução à Neurociência e/ou Morfofisiologia Humana I
MCZC016-15|Neurociência da Cognição Musical|2|0|2|Não há
MCTC024-15|Neuroetologia|4|0|4|Introdução à neurociência e/ou Morfofisiologia Humana I
MCTC018-15|Neuropsicofarmacologia|3|1|4|Bioquímica: estrutura, propriedade e funções de biomoléculas; Introdução à Neurociência e/ou Morfofisiologia Humana I
NHZ3043-15|Noções de Astronomia e Cosmologia|4|0|4|Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Física Quântica
ESHP025-14|Observatório de Políticas Públicas|0|4|4|Avaliação e Monitoramento de Políticas Públicas; Métodos de Planejamento
ESHT014-17|Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais|0|4|4|Planejamento e Política Ambiental; Planejamento e Política Rural
ESHT016-17|Oficina de Planejamento e Governança Metropolitana|0|4|4|Planejamento e Política Ambiental; Política Metropolitana
ESHT013-17|Oficina de Planejamento Macro e Meso Regional|0|4|4|Planejamento e Política Ambiental; Planejamento e Política Regional
ESHT015-17|Oficina de Planejamento Urbano|0|4|4|Planejamento e Política Ambiental; Política Urbana
ESZT007-17|Oficina de Projeto Urbano|0|4|4|Não há
ESTI018-17|Ondas Eletromagnéticas Aplicadas|3|1|4|Fenômenos Eletromagnéticos
ESTE017-17|Operação de Sistemas Elétricos de Potência|4|0|4|Introdução aos Sistemas Elétricos de Potência
ESZE095-17|Operações e Equipamentos Industriais I|4|0|4|Mecânica dos Fluidos I
ESZE096-17|Operações e Equipamentos Industriais II|4|0|4|Termodinâmica Aplicada II; Transferência de Massa
NHZ4028-15|Operações Unitárias I|4|0|4|Funções de uma Variável; Fenômenos Mecânicos; Fenômenos Térmicos
NHZ4029-15|Operações Unitárias II|4|0|4|Funções de uma variável ; Fenômenos Mecânicos; Fenômenos Térmicos; Operações Unitárias I
NHT3044-15|Óptica|3|1|4|Fenômenos Eletromagnéticos; Funções de Várias Variáveis; Geometria Analítica
ESZA016-17|Optoeletrônica|3|1|4|Eletromagnetismo Aplicado
ESTG023-17|Organização do Trabalho|2|0|3|Princípios de Administração
ESZR021-16|Oriente Médio nas Relações Internacionais|4|0|4|Não há
ESZS010-17|Otimização em Projetos de Estruturas|4|0|4|Cálculo Numérico; Mecânica dos Sólidos I
MCTA016-13|Paradigmas de Programação|2|2|4|Processamento da Informação; Programação Orientada a Objetos
NHZ1037-15|Parasitologia|3|0|3|Zoologia de Vertebrados
ESHP026-14|Participação, Movimentos Sociais e Políticas Públicas|4|0|4|Conflitos Sociais; Cidadania, Direitos e Desigualdades
MCZC001-15|Patologias do Sistema Nervoso Central|4|0|4|Introdução à Neurociência e/ou Morfofisiologia Humana I
ESZT008-17|Patrimônio Cultural e Paisagem|4|0|4|Não há
BHP0202-15|Pensamento Crítico|4|0|4|Não há
ESHR023-14|Pensamento crítico das Relações Internacionais|4|0|4|Abordagens Tradicionais das Relações Internacionais
NHZ2098-16|Pensamento e Cinema|4|0|4|Não há
BHO0002-15|Pensamento Econômico|3|0|4|Não há
NHZ2051-11|Pensamento Hegeliano e seus Desdobramentos Contemporâneos|4|0|4|Não há
NHZ2052-11|Pensamento Kantiano e seus Desdobramentos Contemporâneos|4|0|4|Não há
ESZP006-13|Pensamento Latino-Americano e Políticas de CT&I|4|0|4|Não há
NHZ2053-11|Pensamento Marxista e seus Desdobramentos Contemporâneos|4|0|4|Não há
NHZ2054-11|Pensamento Nietzcheano e seus Desdobramentos Contemporâneos|4|0|4|Não há
MCZB026-13|Percolação|4|0|4|Introdução à Probabilidade e à Estatística; Análise Real I
ESZP030-13|Perspectiva de Análise do Estado e das Políticas Públicas|4|0|4|Não há
ESZP040-14|Perspectivas Analíticas Sobre a Burocracia|4|0|4|Não há
NHZ2055-11|Perspectivas Críticas da Filosofia Contemporânea|4|0|4|Não há
MCTC007-15|Pesquisa e Comunicação Científica|2|0|2|Bases Epistemológicas da Ciência Moderna
NHZ2056-11|Pesquisa em Filosofia|4|0|4|Não há
ESTG013-17|Pesquisa Operacional|4|2|9|Estatística Aplicada a Sistemas de Gestão
ESZG006-17|Pesquisa Operacional Aplicada|4|0|5|Pesquisa Operacional
ESZE064-17|Petrofísica|4|0|4|Materiais e suas Propriedades; Reologia
ESZS031-17|Placas e Cascas|4|0|4|Mecânica dos Sólidos I
ESZE080-17|Planejamento da Operação de Sistemas Hidrotérmicos de Potência|0|2|4|Introdução aos Sistemas Elétricos de Potência
ESZI022-17|Planejamento de Redes de Informação|2|2|4|Comunicação e Redes
ESTG014-17|Planejamento e Controle da Produção|4|2|9|Tempos, Métodos e Arranjos Físicos
ESZG010-17|Planejamento e Controle de Projetos|2|2|4|Elaboração, Análise e Avaliação de Projetos
ESZT009-17|Planejamento e Gestão de Redes Técnicas e Sistemas Territoriais|4|0|4|Não há
ESHT017-17|Planejamento e Política Ambiental|4|0|4|Estudos do Meio Físico; Biodiversidade: Interações entre Organismos e Ambiente; Regulação Ambiental e Urbanística
ESHT018-17|Planejamento e Política Regional|4|0|4|Não há
ESHT019-17|Planejamento e Política Rural|4|0|4|Não há
ESZG011-17|Planejamento Estratégico em Gestão de Projetos|2|2|4|Elaboração, Análise e Avaliação de Projetos
ESHP030-14|Planejamento Orçamentário|4|0|4|Não há
ESTU011-17|Planejamento Urbano e Metropolitano|3|1|4|Teoria do Planejamento Urbano e Ambiental
NHZ2057-11|Poder e Cultura na Sociedade da Informação|4|0|4|Não há
ESHP027-14|Poder Local|4|0|4|Não há
NHZ4063-15|Polímeros: Síntese, Caracterização e Processos|4|2|4|Recomenda-se que o aluno tenha feito disciplinas básicas de química e química orgânica
ESZE111-17|Política Energética|4|0|4|Economia da Energia
ESHR025-14|Política Externa Brasileira Contemporânea|4|0|4|História da Política Externa Brasileira
ESZT011-17|Política Habitacional|4|0|4|Não há
ESHR012-13|Política Internacional dos EUA e da União Europeia|4|0|4|Não há
ESHT020-17|Política Metropolitana|4|0|4|Não há
ESHT021-17|Política Urbana|4|0|4|Não há
ESZP007-13|Políticas Culturais|4|0|4|Não há
ESZP039-14|Políticas de Educação|4|0|4|Não há
ESZT010-17|Políticas de Infraestrutura|4|0|4|Não há
ESZP038-14|Políticas de Saúde|4|0|4|Não há
NHI5011-13|Políticas Educacionais|3|0|3|Não há
ESZP034-14|Políticas Públicas de Esporte e Lazer|2|0|4|Não há
ESZP008-13|Políticas Públicas de Gênero, Etnia e Geração|4|0|4|Não há
ESZP009-13|Políticas Públicas de Intervenção Territorial no Brasil|4|0|4|Não há
ESHP028-14|Políticas Públicas para A Sociedade da Informação|4|0|4|Não há
ESZR016-14|Políticas Públicas Sul-Americanas|4|0|4|Não há
ESHP018-14|Políticas Sociais|4|0|4|Não há
NHT5014-18|Políticas, Educação e Surdez|4|0|2|Não há
ESTU012-17|Poluição Atmosférica|3|0|4|Não há
NHZ2058-11|Pragmatismo|4|0|4|Não há
MCZA038-17|Prática Avançada de Programação A|0|4|4|Algoritmos e Estruturas de Dados I
MCZA039-17|Prática Avançada de Programação B|0|4|4|Análise de Algoritmos
MCZA040-17|Prática Avançada de Programação C|0|4|4|Análise de Algoritmos
NHH2088-16|Prática de Ensino de Filosofia: Currículos|4|0|4|Não há
NHH2089-16|Prática de Ensino de Filosofia: Metodologias|4|0|4|Prática de Ensino de Filosofia: Currículos
NHH2090-16|Prática de Ensino de Filosofia: Programas de Ensino|4|0|4|Prática de Ensino de Filosofia: Currículos; Prática de Ensino de Filosofia: Metodologias
NHT5012-15|Práticas de Ciências no Ensino Fundamental|4|0|4|Não há
NHT1071-15|Práticas de Ecologia|1|3|4|Biodiversidade: Interações entre organismos e ambiente
NHT1083-16|Práticas de Ensino de Biologia I|2|1|4|Não há
NHT1084-16|Práticas de Ensino de Biologia II|2|1|4|Práticas de Ensino de Biologia I
NHT1085-16|Práticas de Ensino de Biologia III|2|1|4|Práticas de Ensino de Biologia II
NHT5013-15|Práticas de Ensino de Ciências e Matemática no Ensino Fundamental|4|0|4|Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHT3095-15|Práticas de Ensino de Física I|2|2|4|Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHT3090-15|Práticas de Ensino de Física II|2|2|4|Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHT3091-15|Práticas de Ensino de Física III|2|2|4|Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
MCTD016-18|Práticas de Ensino de Matemática I|2|2|4|Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I
MCTD017-18|Práticas de Ensino de Matemática II|2|2|4|Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I
MCTD018-18|Práticas de Ensino de Matemática III|2|2|4|Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I; Práticas de Ensino de Matemática II
MCTD019-18|Práticas de Ensino de Matemática IV|2|2|4|Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I; Práticas de Ensino de Matemática II; Práticas de Ensino de Matemática III
NHT4030-15|Práticas de Ensino de Química I|3|0|4|Transformações Químicas; Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas
NHT4071-15|Práticas de Ensino de Química II|0|3|4|Transformações Químicas; Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Práticas de Ensino de Química I
NHT4032-15|Práticas de Ensino de Química III|3|0|4|Transformações Químicas; Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Práticas de Ensino de Química I
BHS0001-15|Práticas em Ciências e Humanidades|2|2|4|Não há
NHZ5022-18|Práticas em LIBRAS|0|4|2|LIBRAS
NHT4033-15|Práticas em Química Verde|0|4|4|Não há
NHZ5023-18|Práticas Escolares em Educação Especial e Inclusiva|2|2|4|Não há
ESZT020-17|Práticas Especiais do Planejamento Territorial|0|4|4|Cartografia e Geoprocessamento para o Planejamento Territorial
ESTO012-17|Princípios de Administração|2|0|4|Não há
ESTI004-17|Princípios de Comunicação|3|1|4|Transformadas em Sinais e Sistemas Lineares
ESTB015-17|Princípios de Ética em Serviços de Saúde|2|0|3|Não há
ESTB009-17|Princípios de Imagens Médicas|4|0|4|Fenômenos Eletromagnéticos; Física Médica I; Física Médica II
NHT3048-15|Princípios de Mecânica Quântica|4|0|4|Fenômenos Eletromagnéticos; Física Quântica
NHT3049-15|Princípios de Termodinâmica|4|0|6|Fenômenos Térmicos; Funções de Várias Variáveis
MCTB021-18|Probabilidade|4|0|4|Cálculo de Probabilidade; Teoria da Medida e Integração
NHH2064-13|Problemas Metafísicos: Perspectivas Contemporâneas|4|0|4|Não há
NHH2065-13|Problemas Metafísicos: Perspectivas Modernas|4|0|4|Não há
ESZA005-17|Processadores Digitais em Controle e Automação|3|1|4|Processamento Digital de Sinais
BCM0505-15|Processamento da Informação|3|2|5|Bases Computacionais da Ciência
ESZB010-17|Processamento de Imagens Médicas|2|2|5|Princípios de Imagens Médicas; Métodos Matemáticos aplicados a Sistemas Biomédicos
MCZA041-17|Processamento de Imagens Utilizando GPU|4|0|4|Matemática Discreta; Algoritmos e Estruturas de Dados I
ESZI003-17|Processamento de Informação em Línguas Naturais|3|1|4|Natureza da Informação; Introdução à Linguística Computacional
MCZA017-13|Processamento de Linguagem Natural|4|0|4|Inteligência Artificial
ESZM039-17|Processamento de Materiais Cerâmicos|3|1|4|Materiais Cerâmicos
ESZM037-17|Processamento de Polímeros|3|1|4|Materiais Poliméricos; Reologia
MCTC022-15|Processamento de Sinais Neurais|1|3|4|Processamento da Informação
ESZI032-17|Processamento de Vídeo|3|1|4|Codificação de Sinais Multimídia
MCZA018-17|Processamento Digital de Imagens|3|1|4|Processamento da Informação
ESTI006-17|Processamento Digital de Sinais|4|0|4|Transformadas em Sinais e Sistemas Lineares
ESZB004-17|Processamento e Análise de Falhas em Biomateriais|2|3|4|Ciência dos Materiais Biocompatíveis; Caracterização de Biomateriais
ESZB003-17|Processamento e Análise de Sinais Biomédicos|2|2|4|Instrumentação Biomédica I; Bases Biológicas para Engenharia II; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZM040-17|Processamento e Conformação de Metais I|4|0|4|Materiais Metálicos
ESZM041-17|Processamento e Conformação de Metais II|4|0|4|Materiais Metálicos
MCZA042-17|Processo e Desenvolvimento de Softwares Educacionais|0|4|4|Processamento da Informação
MCZB028-13|Processos Estocásticos|4|0|4|Introdução à Probabilidade e à Estatística; Análise Real I
NHZ4064-15|Processos Industriais Cerâmicos|4|0|4|Não há
NHZ4035-15|Processos Industriais Orgânicos e Inorgânicos|4|0|4|Não há
ESZE031-17|Processos Termoquímicos de Conversão Energética|2|0|4|Termodinâmica Aplicada I; Termodinâmica Aplicada II
MCZA033-17|Programação Avançada para Dispositivos Móveis|0|4|4|Algoritmos e Estruturas de Dados I; Programação Orientada a Objetos; Programação para Web
ESZI043-17|Programação Baseada em Componentes para Jogos|2|2|4|Programação Estruturada
ESZI033-17|Programação de Dispositivos Móveis|0|2|4|Programação Estruturada
ESZI041-18|Programação de Software Embarcado|2|2|4|Programação Estruturada; Sistemas Microprocessados
MCTA028-15|Programação Estruturada|2|2|4|Processamento da Informação
MCTA017-17|Programação Matemática|3|1|4|Álgebra Linear; Funções de uma Variável
MCTA018-13|Programação Orientada a Objetos|2|2|4|Processamento da Informação; Programação Estruturada
MCZA019-17|Programação para Web|2|2|4|Programação Orientada a Objetos; Banco de Dados
MCZA020-13|Programação Paralela|4|0|4|Paradigmas de Programação
MCZA034-17|Programação Segura|2|2|4|Algoritmos e Estruturas de Dados I
MCTC009-15|Progressos e Métodos em Neurociência|3|1|4|Introdução à Neurociência e/ou Morfofisiologia Humana I
ESTU040-17|Projeto Ambiental Urbano|1|3|4|Recomendada para o final do curso
ESTA019-17|Projeto Assistido por Computador|0|2|3|Fundamentos de Desenho Técnico
ESZS028-17|Projeto de Aeronaves I|4|0|6|Aeronáutica I-A; Aerodinâmica I; Sistemas de Propulsão I; Fundamentos de Desenho Técnico; Mecânica dos Sólidos I
ESZI036-17|Projeto de Alta Frequência|2|2|4|Sistemas de Micro-ondas
ESZA024-17|Projeto de Controle Discreto|2|1|4|Introdução ao Controle Discreto
ESTS013-17|Projeto de Elementos Estruturais de Aeronaves I|3|1|5|Técnicas de Análise Estrutural e Projeto
ESZS015-17|Projeto de Elementos Estruturais de Aeronaves II|3|1|5|Projeto de Elementos Estruturais de Aeronaves I
ESZI016-17|Projeto de Filtros Digitais|2|2|4|Processamento Digital de Sinais
ESZE113-17|Projeto de Geradores Elétricos para Energia Eólica|2|0|2|Engenharia Eólica; Fundamentos de Conversão de Energia Elétrica
MCTA029-17|Projeto de Graduação em Computação I|0|8|8|Não há
MCTA030-17|Projeto de Graduação em Computação II|0|8|8|Projeto de Graduação em Computação I
MCTA031-17|Projeto de Graduação em Computação III|0|8|8|Projeto de Graduação em Computação I e II
ESZA014-17|Projeto de Microdispositivos para Instrumentação|3|1|4|Sensores e transdutores
ESZE112-17|Projeto de Microturbinas Eólicas|2|0|2|Engenharia Eólica
MCZA021-17|Projeto de Redes|4|0|4|Redes de Computadores
ESZI023-17|Projeto de Sistemas de Comunicação|0|3|3|Princípios de Comunicação; Comunicação Digital
ESZI038-17|Projeto de Sistemas Multimídia|0|3|3|Codificação de Sinais Multimídia; Processamento de Vídeo; Introdução ao Processamento de Sinais de Voz e Áudio
BCS0002-15|Projeto Dirigido|0|2|10|Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Bases Conceituais da Energia; Evolução e Diversificação da Vida na Terra; Transformações Químicas; Biodiversidade: Interações entre organismos e ambiente; Geometria Analítica; Funções de Uma Variável; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias; Introdução à Probabilidade e à Estatística; Natureza da Informação; Processamento da Informação; Comunicação e Redes; Estrutura da Matéria; Física Quântica; Interações Atômicas e Moleculares; Bioquímica: estrutura, propriedade e funções de Biomoléculas; Bases Epistemológicas da Ciência Moderna; Estrutura e Dinâmica Social; Ciência, Tecnologia e Sociedade; Base Experimental das Ciências Naturais; Bases Computacionais da Ciência; Bases Matemáticas
ESZB037-17|Projeto e Análise de Próteses e Órteses|2|2|4|Modelagem de Sistemas Dinâmicos II; Biomecânica II; Ciência dos Materiais Biocompatíveis
ESZB033-17|Projeto e Desenvolvimento de Interfaces Cérebro-Máquina|2|2|4|Métodos Matemáticos Aplicados a Sistemas Biomédicos; Computação Científica Aplicada a Problemas Biológicos; Instrumentação Biomédica I
ESZB017-17|Projeto e Desenvolvimento de Sistemas para Análise de Dados Médicos|3|2|4|Processamento da Informação; Álgebra Linear; Análise e Controle de Sistemas Mecânicos; Bases Biológicas para Engenharia I; Bases Biológicas para Engenharia II; Bioestatística; Biologia Celular; Biomecânica I; Biomecânica II; Biossegurança; Cálculo Numérico; Ciência dos Materiais Biocompatíveis; Circuitos Elétricos I; Computação Científica Aplicada a Problemas Biológicos; Engenharia Econômica; Engenharia Unificada I; Engenharia Unificada II; Equipamentos Médico-Hospitalares; Estágio Curricular em Engenharia Biomédica; Fenômenos de Transporte; Física Médica I; Física Médica II; Fundamentos de Desenho Técnico; Fundamentos de Eletrônica Analógica e Digital; Instrumentação Biomédica I; Introdução às Engenharias; Legislação Relacionada à Saúde; Materiais e Suas Propriedades; Mecânica dos Sólidos I; Métodos Experimentais em Engenharia; Métodos Matemáticos Aplicados a Sistemas Biomédicos; Modelagem de Sistemas Dinâmicos I; Modelagem de Sistemas Dinâmicos II; Princípios de Administração; Princípios de Ética em Serviços de Saúde; Princípios de Imagens Médicas; Sensores Biomédicos; Trabalho de Graduação I em Engenharia Biomédica; Trabalho de Graduação II em Engenharia Biomédica; Trabalho de Graduação III em Engenharia Biomédica
MCZA022-17|Projeto Interdisciplinar|0|4|4|Não há
ESZG043-17|Projeto Virtual e Integrado de Manufatura|2|2|4|Sistemas CAD/CAE; Sistemas CAM; Tempos, Métodos e Arranjos Físicos
MCZD005-18|Projetos de Ensino de Matemática e Ciências com Arte|2|2|2|Bases Epistemológicas da Ciência Moderna; Didática
ESZG012-17|Projetos Industriais|2|2|6|Desenvolvimento Integrado do Produto; Elaboração, Análise e Avaliação de Projetos
ESZI039-17|Propagação e Antenas|3|1|4|Ondas Eletromagnéticas Aplicadas
ESTG025-17|Propriedade Intelectual|4|0|4|Ciência, Tecnologia e Sociedade
ESTM019-17|Propriedades Elétricas, Magnéticas e Ópticas|4|0|4|Ciência dos Materiais
NHZ3085-15|Propriedades Magnéticas e Eletrônicas|2|2|4|Mecânica Quântica I; Estado Sólido
ESTM010-17|Propriedades Mecânicas e Térmicas|3|1|4|Fenômenos Térmicos; Ciência dos Materiais
ESZS033-17|Propulsão Aeroespacial Não-Convencional|4|0|4|Sistemas de Propulsão I
ESZE076-17|Proteção de Sistemas Elétricos de Potência|4|0|4|Sistemas de Potência II
MCTC011-15|Psicologia Cognitiva|4|0|4|Não há
MCTC020-15|Psicologia Experimental|2|4|4|Psicologia Cognitiva
ESZE073-17|Qualidade da Energia Elétrica|4|0|4|Introdução aos Sistemas Elétricos de Potência
ESZB011-17|Qualidade de Imagens Médicas|2|2|4|Princípios de Imagens Médicas; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZG035-17|Qualidade em Serviços|2|0|3|Qualidade em Sistemas
ESTG016-17|Qualidade em Sistemas|4|0|5|Organização do Trabalho
ESZU016-17|Questões Ambientais Globais|2|0|4|Álgebra Linear; Análise de Sistemas e Modelagem Ambiental; Avaliação de Impactos Ambientais; Biomas Brasileiros; Cálculo Numérico; Caracterização de Matrizes Ambientais; Cartografia e Geoprocessamento; Circuitos Elétricos e Fotônica; Climatologia; Engenharia Econômica; Engenharia Unificada I; Engenharia Unificada II; Estágio Curricular em Engenharia Ambiental e Urbana; Fenômenos de Transporte; Fundamentos de Desenho Técnico; Fundamentos de Geologia para Engenharia; Geotecnia; Habitação e Assentamentos Humanos; Hidráulica de Condutos Forçados; Hidráulica de Condutos Livres; Hidrologia; Introdução às Engenharias; Materiais e Suas Propriedades; Mecânica dos Sólidos I; Métodos Experimentais em Engenharia; Microbiologia Ambiental; Planejamento Urbano e Metropolitano; Poluição Atmosférica; Princípios de Administração; Projeto Ambiental Urbano; Recuperação de Áreas Degradadas; Regulação Ambiental e Urbanística; Representação Gráfica de Projetos Ambientais e Urbanos; Resíduos Sólidos; Saúde Ambiental; Sistema de Abastecimento de Águas; Sistemas de Drenagem Urbana; Sistemas de Esgotamento Sanitário; Sistemas de Tratamento de Água; Teoria do Planejamento Urbano e Ambiental; Trabalho de Graduação I em Engenharia Ambiental e Urbana; Trabalho de Graduação II em Engenharia Ambiental e Urbana; Trabalho de Graduação III em Engenharia Ambiental e Urbana; Transferência de Massa; Transportes e Mobilidade Urbana; Tratamento de Águas Urbanas Servidas
NHZ5014-15|Questões Atuais no Ensino de Ciências|2|0|2|Não há
ESHC039-17|Questões Metodológicas em Economia|4|0|3|Bases Epistemológicas da Ciência Moderna; Econometria I; Macroeconomia I; Microeconomia I; Pensamento Econômico
ESZU037-17|Química Ambiental|2|0|4|Não há
NHT4051-15|Química Analítica Clássica I|3|3|6|Não há
NHT4050-15|Química Analítica Clássica II|3|3|6|Química Analítica Clássica I
NHT4058-15|Química Analítica e Bioanalítica Avançada|4|2|8|Química Analítica Clássica I; Química Analítica Clássica II; Análise Química Instrumental; Eletroanalítica e Técnicas de Separação
NHZ4069-15|Química de Alimentos|2|2|2|Recomenda-se que o aluno tenha feito disciplinas básicas de química e bioquímica
NHT4052-15|Química de Coordenação|4|4|8|Ligações Químicas
ESZE066-17|Química do Petróleo|4|0|4|Transformações Químicas; Funções e Reações Orgânicas
NHT4053-15|Química dos Elementos|4|4|6|Transformações Químicas; Funções e Reações Orgânicas
NHZ4038-15|Química dos Materiais|4|2|4|Não há
NHZ4066-15|Química Inorgânica Avançada|4|0|4|Ligações Químicas
ESTM016-17|Química Inorgânica de Materiais|4|2|6|Transformações Químicas
NHT4056-15|Química Inorgânica Experimental|0|4|4|Química dos Elementos; Química de Coordenação
NHT4040-15|Química Orgânica Aplicada|0|4|6|Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental
NHT4041-15|Química Orgânica Experimental|0|4|6|Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas
ESZE038-17|Reações Nucleares|3|0|5|Engenharia Nuclear
ESZM033-17|Reciclagem e Ambiente|3|1|4|Materiais e suas Propriedades
ESTU031-17|Recuperação de Áreas Degradadas|2|1|3|Fundamentos de Geologia para Engenharia
NHZ4074-15|Recursos Didáticos para o Ensino de Química|4|0|4|Não há
ESZU023-17|Recursos Hídricos|3|0|4|Não há
MCZA023-17|Redes Convergentes|4|0|4|Redes de Computadores
ESZA009-17|Redes de Barramento de Campo|2|1|4|Eletrônica Digital
MCTA022-17|Redes de Computadores|3|1|4|Processamento da Informação
ESZE077-17|Redes de Distribuição de Energia Elétrica|4|0|4|Introdução aos Sistemas Elétricos de Potência
MCZA024-17|Redes sem Fio|3|1|4|Redes de computadores
ESZI029-17|Redes WAN de Banda Larga|3|1|4|Redes de Computadores
