SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESZG009-17|Gestão da Qualidade, Segurança, Saúde e Ambiental Aplicada em Projetos|2|0|4|Planejamento e Controle de Projetos
ESZG024-17|Gestão de Custos Avançada|4|0|5|Custos
ESTG009-17|Gestão de Operações|4|0|5|Planejamento e Controle da Produção
ESZP022-13|Gestão de Projetos Culturais|4|0|4|Não há
MCZA016-17|Gestão de Projetos de Software|4|0|4|Processamento da Informação; Engenharia de Software
ESZB029-17|Gestão de Tecnologia Hospitalar I|4|0|4|Equipamentos Médico-Hospitalares
ESZB030-17|Gestão de Tecnologia Hospitalar II|4|0|4|Gestão de Tecnologia Hospitalar I
ESZG019-17|Gestão Estratégica e Organizacional|2|0|2|Não há
ESZU011-17|Gestão Urbano-Ambiental|3|1|4|Regulação Ambiental e Urbanística; Cartografia e Geoprocessamento; Teoria do Planejamento Urbano e Ambiental
ESHR008-13|Globalização e os processos de Integração Regional|4|0|4|Relações Internacionais e Globalização
ESHT008-17|Governança Pública, Democracia e Políticas No Território|4|0|4|Não há
ESHP009-13|Governo, Burocracia e Administração Pública|4|0|4|Não há
MCZB010-13|Grupo Fundamental e Espaço de Recobrimento|4|0|4|Topologia; Grupos
MCTB018-17|Grupos|4|0|4|Teoria Aritmética dos Números
ESTU007-17|Habitação e Assentamentos Humanos|3|1|5|Cartografia e Geoprocessamento; Regulação Ambiental e Urbanística
ESTU028-17|Hidráulica de Condutos Forçados|2|1|2|Fenômenos de Transporte; Cálculo Numérico
ESTU029-17|Hidráulica de Condutos Livres|1|1|2|Fenômenos de Transporte; Cálculo Numérico
ESZE048-17|Hidrogênio e Células a Combustível|4|0|4|Bases Conceituais da Energia
ESTU009-17|Hidrologia|3|1|3|Introdução à Probabilidade e à Estatística
NHT1054-15|Histologia e Embriologia|4|2|4|Biologia Celular
NHZ2031-11|História da Astronomia|4|0|4|Não há
ESZU029-17|História da Cidade e do Urbanismo|4|0|4|Não há
ESHT009-17|História da Cidade e do Urbanismo|4|0|4|Não há
NHZ5016-15|História da Educação|4|0|4|Não há
NHH2032-13|História da Filosofia Antiga: Aristóteles e o Aristotelismo|4|0|4|Não há
NHH2033-13|História da Filosofia Antiga: Platão e o Platonismo|4|0|4|Não há
NHH2034-13|História da Filosofia Contemporânea: o século XIX|4|0|4|Não há
NHH2035-13|História da Filosofia Contemporânea: o Século XX|4|0|4|Não há
NHZ2036-11|História da Filosofia da Antiguidade Tardia|4|0|4|Não há
NHH2086-16|História da Filosofia Medieval: do Século IV ao X|4|0|4|Não há
NHH2087-16|História da Filosofia Medieval: do Século XI ao XIV|4|0|4|Não há
NHZ2037-11|História da Filosofia Medieval: Escolas Franciscanas e Nominalismo|4|0|4|Não há
NHH2038-13|História da Filosofia Medieval: Patrística e Escolástica|4|0|4|Não há
NHZ2039-11|História da Filosofia Moderna: o Idealismo alemão|4|0|4|Não há
NHH2040-13|História da Filosofia Moderna: o Iluminismo e seus desdobramentos|4|0|4|Não há
NHH2041-13|História da Filosofia Moderna: perspectivas racionalistas|4|0|4|Não há
NHZ2042-11|História da Linguagem |4|0|4|Não há
MCTD010-18|História da Matemática|4|0|4|Não há
ESHR024-14|História da Política Externa Brasileira|4|0|4|Formação do Sistema Internacional
NHZ2043-11|História da Sociedade Contemporânea |4|0|4|Não há
NHZ2044-11|História das Ciências no Brasil|4|0|4|Não há
NHZ1031-15|História das Ideias Biológicas|2|0|4|Biodiversidade: Interações entre organismos e ambiente; Evolução
ESZR008-13|História de atuação do Brasil nos processos de integração sul-americana|4|0|4|História da Política Externa Brasileira
ESHC019-17|História do Pensamento Econômico|4|0|4|Pensamento Econômico; Introdução à Economia
ESHR026-14|História do Terceiro Mundo|4|0|4|Formação do Sistema Internacional
NHZ2045-11|História e Filosofia da Ciência|4|0|4|Não há
NHZ5017-15|História e Filosofia das Ciências e o Ensino de Ciências|4|0|2|Não há
ESHC020-17|História Econômica Geral|4|0|4|Formação do Sistema Internacional
NHZ2046-11|História Social da Tecnologia na América Latina|4|0|4|Não há
NHH2047-13|Historiografia e História das Ciências|4|0|4|Não há
BHQ0001-15|Identidade e Cultura|3|0|4|Não há
ESZE103-17|Iluminação Rural Fotovoltaica|4|0|4|Engenharia Solar Fotovoltaica
ESZE063-17|Impacto Ambiental e Social Na Cadeia de Produção de Petróleo|4|0|4|Engenharia de Petróleo e Gás; Refino do Petróleo
ESZE109-17|Impactos Econômicos e Socioambientais da Geração Fotovoltaica|2|0|2|Engenharia Solar Fotovoltaica
NHZ1090-15|Imunologia Aplicada|4|0|5|Bioquímica: estrutura, propriedade e funções de biomoléculas; Biologia Celular
ESZP042-14|Indicadores de Políticas Públicas|0|4|6|Não há
NHZ4059-15|Indústria de Polímeros|4|0|4|Não há
MCZB012-13|Inferência Estatística|4|0|4|Introdução à Probabilidade e à Estatística
ESZI027-17|Informação e Sociedade|2|0|3|Não há
ESZT005-17|Informática Aplicada ao Planejamento Territorial|1|3|4|Cartografia e Geoprocessamento para o Planejamento Territorial
ESZI013-17|Informática Industrial|0|4|4|Eletrônica Digital
ESZP023-13|Inovação e Desenvolvimento Agroindustrial|4|0|4|Não há
ESZG037-17|Inovação Estratégica|1|1|3|Inovação Tecnológica
ESZP043-14|Inovação nos Serviços Públicos|4|0|4|Não há
ESTG010-17|Inovação Tecnológica|2|2|2|Propriedade Intelectual
ESTE019-17|Instalações Elétricas I|0|4|4|Circuitos Elétricos I
ESTE020-17|Instalações Elétricas II|0|4|4|Instalações Elétricas I
ESZB031-17|Instalações Hospitalares|4|0|4|Equipamentos Médico-Hospitalares; Biossegurança
ESZP002-13|Instituições Judiciais e Políticas Públicas|4|0|4|Não há
ESTB025-17|Instrumentação Biomédica I|2|2|5|Fundamentos de Eletrônica Analógica e Digital; Sensores Biomédicos
ESZB025-17|Instrumentação Biomédica II|2|2|5|Instrumentação Biomédica I
